Rank,Name,Episodes,Tags,Rating
49,Gintama°,longseries,fourth\xa0season of gintama. hideakisorachi action comedy drama sci fi shounen aliens breaking the fourth wall crude feudal japan gag parody samurai slapstick swordplay based on a manga 2015,4.43
50,Howl's Moving Castle,movie,"the responsible sophie led a relatively normal life, safe within the walls of the hat shop in which she works; for outside, it is rumored, the evil wizard howl roams the land in his mobile black castle. after a chance and mystical encounter, poor sophie finds herself transformed by a witchs spell which makes her appear to be an old woman, and thus embarks on an adventure to find howl’s castle and put an end to her curse. a mystical world of talking flames, sentient scarecrows, and magic aplenty awaits those who seek the legendary howl... dianawynnejones adventure fantasy romance curse family friendly lifestyle change magic witches based on a novel 2004",4.43
51,Natsume's Book of Friends Season 6,miniseries,precious days with kinds friends. a beautiful yet fleeting story about people and spirits. natsume takashi had been able to see youkai ever since he was young and inherited his grandmother reiko’s book of friends. he spends his days with his self-proclaimed bodyguard nyanko-sensei and freeing the youkai that were bound to the book. natsume continues to find ways to protect the precious days where he tries to find which path to follow through his connections with spirits and those involved with them and being helped out by friends who share the same feelings. yukimidorikawa drama fantasy shoujo bodyguards cats countryside episodic iyashikei japanese mythology orphans supernatural youkai based on a manga 2017,4.43
52,JoJo's Bizarre Adventure: Golden Wind,longseries,"giorno giovanna is a young man that lives in naples and is the son of dio, the nemesis of the joestar family. when he was younger, he was oppressed and started acting out, but one day, he saved a gang member and then learned how to trust people. bizarrely, he never forgot that and learned how to be respectful with\xa0 his own gang that straightened him out. that’s also how he started aspiring to become a gang-star. now fifteen, giorno gets in trouble with the gang passione, which controls the italian mafia underworld, and now, he’s being targeted. hirohikoaraki action adventure shounen europe italy supernatural based on a manga animal abuse, mature themes 2018",4.43
53,JoJo's Bizarre Adventure: Stone Ocean,miniseries,"florida, u.s.a, 2011 after an accident while on a drive with her sweetheart, jolyne cujoh falls into a trap and is sentenced to fifteen years. she is sent to the state-run maximum-security correctional facility green dolphin street prison—aka the aquarium. on the verge of despair, she receives a pendant from her father that causes a mysterious power to awaken inside of her. there are things in this world that are more terrifying than death, and what\s happening in this prison is definitely one of them. a message from a mysterious boy who appears before jolyne, inexplicable events that occur one after another, the horrifying truth told to her by her father when he comes to visit, and the name dio... will jolyne ultimately be set free from this stone ocean they call a prison? the final battle to end century-long fateful confrontations between the joestar family and dio begins! hirohikoaraki action adventure shounen america prison supernatural based on a manga 2021",4.42
54,Vinland Saga,courseries,"around the end of the millennium, viking, the mightiest but atrocious tribe, had been outbreaking everywhere. thorfinn, the son of the greatest warrior, lived his childhood in the battlefield. he was seeking the land of reverie called vinland. this is the story of a true warrior in an age of turmoil. makotoyukimura action seinen death of a loved one england europe historical medieval revenge swordplay war weak to strong based on a manga violence 2019",4.42
55,Natsume's Book of Friends Season 4,miniseries,"takashi natsume continues to return the names of the spirits that have been written in the book of friends he inherited from his grandmother, reiko natsume. while natsume is still aided by the chubby nyanko-sensei, he\s now helped by some of the friends he had made in his journey; be it human beings or spirits. as he becomes closer to both, natsume faces the inevitable question of the sides he has to take especially when there is a conflict between the two. yukimidorikawa drama shoujo slice of life bodyguards cats countryside episodic iyashikei japanese mythology orphans supernatural youkai based on a manga 2012",4.4
56,Assassination Classroom 2nd Season,longseries,"class 3e is about to begin their second semester! and while some things have changed, the class assignment is still the same: kill their teacher before the end of the year! easier said than done since koro senseis made it clear he wont go down without a fight. will these students be able to take down the tentacled monster that moves at mach 20 before he can destroy the world? yuseimatsui action comedy sci fi shounen assassins non-human protagonists overpowered main characters parody school life teaching based on a manga 2016",4.4
57,Natsume's Book of Friends Season 5,miniseries,"takashi natsume is a boy who\s been able to see youkai ever since he was a child. ever since he inherited the book of friends from his grandmother reiko, he and his self-proclaimed bodyguard nyanko-sensei have spent their days returning names to the youkai who are bound by the book. as he meets the different youkai and people, he finds himself with many more things that he cares about. he wonders whether it\s right to keep secrets to protect someone as little by little he works up the courage to build even more friendships. yukimidorikawa drama shoujo slice of life bodyguards cats countryside episodic iyashikei japanese mythology orphans supernatural youkai based on a manga 2016",4.4
58,My Hero Academia 3,longseries,"summer is here,and the heroes of class 1-a and 1-b are in for the toughest training camp of their lives! a group of seasoned pros pushes everyone’s quirks to new heights as the students face one overwhelming challenge after another. braving the elements in this secret location becomes the least of their worries when routine training turns into a critical struggle for survival. kouheihorikoshi action comedy drama sci fi shounen superheroes superpowers based on a manga violence 2018",4.4
