Rank,Name,Episodes,Tags,Rating
59,Violet Evergarden,miniseries,"as a child, violet was used by the military as a weapon because of her combat prowess. her one friend and protector was major gilbert, who named the girl, taught her how to speak and write, and cared for her. but after being seriously injured in the war, losing both arms in the process, violet is brought to the evergarden household to recuperate. there, she trains to become an auto memories doll: a person who writes letters for others, deciphering their true feelings and expressing it on paper. as violet travels the world, she helps her clients find love and comfort through the letters she writes; but more importantly, she slowly begins to understand emotions, so that she can finally cope with what she’s done, and what she’s lost. taichiishidate drama lifestyle change melancholy war based on a light novel violence 2018",4.39
60,That Time I Got Reincarnated as a Slime,courseries,"lonely thirty-seven-year-old satoru mikami is stuck in a dead-end job, unhappy with his mundane life, but after dying at the hands of a robber, he awakens to a fresh start in a fantasy realm...as a slime monster! as he acclimates to his goopy new existence, his exploits with the other monsters set off a chain of events that will change his new world forever! fuse action adventure comedy fantasy shounen cheats demons isekai kingdom building magic management modern knowledge monsters non-human protagonists overpowered main characters person in a strange world political reincarnation rpg slimes based on a manga violence 2018",4.39
61,My Hero Academia 2,longseries,"in a world where eighty percent of the population has some kind of super-powered “quirk,” izuku was unlucky enough to be born completely normal. but that won’t stop him from enrolling in a prestigious hero academy. now, the promising freshman class is making its debut at the world-renowned u.a. sports festival! it’s quirk versus quirk as our young heroes face off in the ultimate showdown. kouheihorikoshi action comedy drama sci fi shounen school life superheroes superpowers tournaments weak to strong based on a manga emotional abuse, mature themes, physical abuse, violence, domestic abuse 2017",4.39
62,Wolf Children,movie,"hana was a student before she was a mother. she was bright and pretty, and her future held endless possibilities. then she met a man, who turned out to be a wolf, and together they built a family. hana loved her mate fiercely, but fate took him from her, leaving her alone with two unusual kids she didn’t know how to raise. frightened of being discovered, hana and her wolf children fled to the countryside to build a new life. raising her little wild things was an adventure. it left hana bruised, scratched, exhausted, and joyously overwhelmed as her pups grew stronger and wandered further every day. this is a mother’s journey. teach your children to chase their dreams – and smile through the tears as they disappear into the world in search of who they will become. hana wasn’t always a mother, but it was always what she was meant to be. mamoruhosoda fantasy slice of life animal characteristics animal transformation childcare coming of age contemporary fantasy countryside death of a loved one family life lifestyle change single parent werewolves original work nudity 2012",4.39
63,SK8 the Infinity,miniseries,"high school students reki and langa are hooked on one thing—a dangerous, top secret, no-holds-barred downhill skateboarding race called “s.” when reki takes langa, a transfer student, to the mountain where “s” is held, langa finds himself sucked in. these colorful skaters will take you through a thrilling story of skateboard battles and unlimited possibilities! hirokoutsumi comedy sports racing original work emotional abuse, mature themes, physical abuse, domestic abuse 2021",4.38
64,Hajime no Ippo: The Fighting!,longseries,"ippo makunouchi is a loser. he has no friends, he spends his free time helping his mom with work, and hes constantly being beaten up by bullies. but that all changes when one day hes saved from another beating by takamura, an up-and-coming boxer. soon, ippo turns his life around with a passion for the newly discovered sport, but his new lifestyle is far from easy! before he can even dream of becoming champion, hell have to overcome a slew of fierce rivals and learn what dedication really means. georgemorikawa action drama shounen sports boxing hand to hand combat weak to strong based on a manga 2000",4.38
65,Code Geass: Lelouch of the Rebellion,longseries,"in 2010, the britannian empire enslaved japan using powerful mecha known as knightmares; in the aftermath japan was renamed area 11, and its people began a hard and terrible existence. lelouch, a britannian student living in area 11, has grown up hating the empire and everything it stands for. one day, in the middle of a terrorist attack, lelouch meets a mysterious girl who grants him the ability to control minds. can he use his new power to fight for freedom, or will his hatred twist his good intentions into mindless acts of vengeance? goroutaniguchi mecha sci fi conspiracy mind games overpowered main characters political psychological real robot rebellions revenge rivalries royalty secret identity superpowers terrorism original work nudity, violence 2006",4.38
66,JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,courseries,"after 30 days of travel across the world, plagued with countless battles, jotaro and his companions have finally arrived in egypt! now only the strongest stand users remain to rebuff our heroes final march on cairo: the nine egyptian gods, dios most zealous servants. will the joestar line fall to the monstrous vampire, or can jotaro defeat dio and save his mothers life? hirohikoaraki action adventure comedy shounen monster-of-the-week proxy battles supernatural based on a manga animal abuse, explicit violence, mature themes 2015",4.37
67,Yona of the Dawn: Zeno Arc,ova,"the two anime episodes will completely cover the zeno arc, which tells the backstory of the character zeno. mizuhokusanagi action adventure drama fantasy romance shoujo death of a loved one orphans political royalty based on a manga violence 2016",4.37
68,JoJo's Bizarre Adventure: Diamond is Unbreakable,longseries,"it has been 11 years since the defeat of the joestars arch nemesis, dio. in 1999, jotaro kujo went to morioh in s city in m prefecture, japan, to find his grandfather, joseph joestars secret child, josuke higashikata. however, josuke had the same ability as jotaro, the stand. and as though jotaro was summoning them, a new group of stand users start to make their moves. theres something in this town... josuke rises up to save morioh, his hometown that he grew up in. hirohikoaraki action mystery shounen proxy battles supernatural based on a manga animal abuse, mature themes, violence 2016",4.37
69,Kamisama Kiss: Kako-hen,ova,"the\xa0oad\xa0will adapt the past arc, which spans from mid-volume 14 to volume 17 in the manga. juliettasuzuki comedy romance shoujo animal characteristics interspecies relationship japanese mythology master-servant relationship non-human protagonists based on a manga 2015",4.37
70,Hajime no Ippo: New Challenger,longseries,"ippo continues his career as a professional boxer, trying to live up to his role as the japanese champion. now that a new generation looks up to him as both a role model and a target - even though hes still a little green behind the ears himself - ippo must develop his skills both inside and outside the ring. can the kind ippo ruthlessly crush his challengers and be a man his younger peers can look up to? and ultimately, can he take his skills to the level where he can follow in date eijis footsteps and aim for the international title? pro boxing is a difficult sport; ippo and his friends - even the mighty kimura, must survive in a competetive world where all others must fall in order for one to rise to the top... georgemorikawa action drama shounen sports boxing hand to hand combat tournaments based on a manga 2009",4.37
71,Mushishi Zoku Shou 2nd Season,miniseries,continuation of mushishi zoku shou. yukiurushibara fantasy seinen episodic iyashikei supernatural based on a manga 2014,4.37
72,Attack on Titan,longseries,"over a century ago, mankind was devoured by giant beings of unknown intelligence and origin known as titans – creatures that eat humans alive indiscriminately and for no apparent reason. the remaining population has managed to survive the last hundred years only by building a multi-walled city capable of keeping the titans at bay, training military recruits to patrol the perimeter and gather intelligence about their mysterious foe. eren and mikasa have lived a relatively peaceful life behind the citys walls, but when a massive titan appears, smashing the outer barrier and unleashing a wave of terror, their lives are brutally changed forever... hajimeisayama action fantasy horror shounen dark fantasy death of a loved one isolated society military outside world overpowered main characters post-apocalyptic revenge based on a manga cannibalism, explicit violence, mature themes, suicide 2013",4.37
73,Haikyuu!! Tokushuu! Harukou Volley ni Kaketa Seishun,movie,"the ova will look back at the spring tournament primaries, and feature interviews with the players. haruichifurudate shounen sports recap volleyball based on a manga 2017",4.37
74,Kaguya-sama: Love Is War?,miniseries,"the battle between love and pride continues! neither kaguya nor shirogane has made a move, but new friends and rivals just might push them closer. akaakasaka comedy drama romance seinen episodic love confession mind games school life student council based on a manga 2020",4.37
75,Gintama: Porori-hen,miniseries,sixth\xa0season of gintama. hideakisorachi action comedy drama sci fi shounen aliens crude feudal japan gag samurai slapstick swordplay based on a manga 2017,4.36
76,March Comes in like a Lion 2nd Season,courseries,"rei continues to\xa0work hard at improving his shogi skills, determined to win competitions. when he learns that one of the kawamoto sisters is facing a\xa0crisis, he wants to do everything he can to help, including finding a way to use his shogi winnings to pay them back for all theyve done to save him from\xa0his pain and loneliness.\xa0meanwhile, reis self-appointed rival nikaidou faces a crisis of his own when his poor health takes a turn for the worse. chicaumino drama seinen slice of life board games melancholy orphans psychological based on a manga bullying, emotional abuse 2017",4.36
77,Natsume's Book of Friends Season 3,miniseries,"takashi natsume sees spirits, and with the help of his lazy and sake-guzzling bodyguard nyanko-sensei he returns to spirits their names that were stolen by his grandmother reiko natsume. not all of the spirits are peaceful though, and he often fights to keep himself and his family and friends safe while at the same time fighting the loneliness that plagued him before he found his home. yukimidorikawa drama shoujo slice of life bodyguards cats countryside episodic iyashikei japanese mythology orphans supernatural youkai based on a manga 2011",4.36
